"city_key","name","center_lat","center_lng","source_name","source_url","imported_at","content_status"
"hakkari","Hakkari","37.36799430847179","44.13520622253424","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"hatay","Hatay","36.42049026489272","36.242595672607536","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"igdir","Iğdır","39.921939849853686","44.0566806793214","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"isparta","Isparta","37.92969703674322","30.809888839721822","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"istanbul","İstanbul","41.181804656982564","28.970165252685575","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"izmir","İzmir","38.65636062622082","27.38393115997343","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kahramanmaras","Kahramanmaraş","37.92292404174805","36.99332046508809","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"karabuk","Karabük","41.19659042358404","32.58456802368181","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"karaman","Karaman","37.01968574523934","33.32705497741716","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kars","Kars","40.560007095337","42.94409751892093","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kastamonu","Kastamonu","41.435693740844755","33.64013481140148","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kayseri","Kayseri","38.609514236450195","35.92643356323259","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kirikkale","Kırıkkale","39.722934722900504","33.71596717834473","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kirklareli","Kırklareli","41.663278579712056","27.515642166137894","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kirsehir","Kırşehir","39.30101966857916","34.14129447937029","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kilis","Kilis","36.81706237792977","37.145195007324446","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kocaeli","Kocaeli","40.88640594482433","29.81586551666257","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"konya","Konya","38.01397705078119","32.879172325134505","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"kutahya","Kütahya","39.3171253204348","29.557352066040124","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"malatya","Malatya","38.47357940673845","38.16857337951677","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"manisa","Manisa","38.7565593719483","28.080514907837113","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"mardin","Mardin","37.351905822753935","40.91935539245608","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"mersin","Mersin","36.70570945739763","33.81791877746585","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"mugla","Muğla","36.94393348693865","28.428680419922074","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"mus","Muş","39.00590133666998","41.96273803710949","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"nevsehir","Nevşehir","38.919353485107536","34.63831138610837","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"nigde","Niğde","37.894121170043974","34.71892547607436","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"ordu","Ordu","40.738958358764705","37.422216415405444","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"osmaniye","Osmaniye","37.302267074585075","36.29073333740243","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"rize","Rize","40.91517257690427","40.879421234130945","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"sakarya","Sakarya","40.7572422027589","30.480576515197924","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"samsun","Samsun","41.289133071899556","36.02231788635257","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"siirt","Siirt","37.94938087463379","42.2251892089844","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"sinop","Sinop","41.6468639373779","34.8622474670413","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"sivas","Sivas","39.54344177246105","37.29318428039562","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"sanliurfa","Şanlıurfa","37.347826004028406","39.042755126953324","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"sirnak","Şırnak","37.49352073669439","42.61998748779314","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"tekirdag","Tekirdağ","41.085605621337976","27.481228828430403","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"tokat","Tokat","40.422643661499194","36.579967498779354","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"trabzon","Trabzon","40.804204940795984","39.81492042541515","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"tunceli","Tunceli","39.1528835296632","39.63505172729501","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"usak","Uşak","38.540870666503935","29.35989761352556","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"van","Van","38.51478767395025","43.631252288818445","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"yalova","Yalova","40.578889846801786","29.111382484436206","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"yozgat","Yozgat","39.61728096008309","35.10550689697283","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"zonguldak","Zonguldak","41.290641784668026","31.84611606597906","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
